"009167","博时富灿一年定开债发起式"
"003529","汇添富长添利定开债C"
"160523","博时安丰18个月定开债C"
"005289","融通通昊三个月定开债"
"007744","长盛安逸纯债债券A"
"008146","中银添瑞6个月A"
"006570","中金金元A"
"002109","博时裕丰纯债3个月定开债"
"000952","中银慧享中短利率债债券B"
"000951","中银慧享中短利率债债券A"
"002898","富国两年期理财债券A"
"010191","华夏鼎信债券A"
"008147","中银添瑞6个月C"
"008594","平安合润定开债"
"008762","天弘恒享一年定开"
"006422","嘉合磐稳纯债A"
"003777","南方宣利定开债C"
"000792","招商定期宝六个月期理财债券"
"010440","诺德安鸿纯债"
"007173","招商添旭定开债发起式A"
"010634","天弘合益债券A"
"010498","国金惠宁中短期利率债A"
"003453","招商招盛纯债C"
"008730","天弘纯享一年定开"
"003452","招商招盛纯债A"
"010499","国金惠宁中短期利率债C"
"008738","天弘兴享一年定开"
"007745","长盛安逸纯债债券C"
"010635","天弘合益债券C"
"007264","人保中高等级信用债A"
"011094","诺德安盛纯债"
"005721","前海开源乾盛定开债C"
"010459","鑫元乾利债券"
"010804","天弘庆享债券C"
"161693","融通债券C"
"009148","平安合聚定开债"
"007265","人保中高等级信用债C"
"007337","汇安嘉盛纯债债券C"
"008731","招商添浩纯债A"
"008233","中银恒优12个月持有期债券C"
"164509","国富恒利债券(LOF)A"
"004833","先锋聚利混合A"
"004834","先锋聚利混合C"
"164703","汇添富纯债债券(LOF)"
"168501","北信瑞丰产业升级"
"161631","融通人工智能指数(LOF)A"
"009239","融通人工智能指数(LOF)C"
"004734","中欧瑾灵灵活配置混合A"
"004735","中欧瑾灵灵活配置混合C"
"162210","泰达宏利集利债券A"
"000694","鑫元鸿利债券"
"000355","南方丰元信用增强债券A"
"000356","南方丰元信用增强债券C"
"160520","博时弘盈定期开放混合A"
"005892","先锋汇盈纯债A"
"005906","招商丰茂灵活混合发起式A"
"160521","博时弘盈定期开放混合C"
"002929","博时聚盈纯债债券"
"002218","南方弘利A"
"002219","南方弘利C"
"005907","招商丰茂灵活混合发起式C"
"005893","先锋汇盈纯债C"
"003266","招商招坤纯债C"
"000516","富国祥利一年期定期开放债券型A"
"006625","汇安嘉鑫纯债债券"
"008452","兴全恒鑫债券A"
"008453","兴全恒鑫债券C"
"000517","富国祥利一年期定期开放债券型C"
"050027","博时信用债纯债债券A"
"006383","招商添盈纯债A"
"004001","泰达宏利恒利债券A"
"006090","前海开源鼎康债券A"
"004564","北信瑞丰鼎利债券A"
"006384","招商添盈纯债C"
"006091","前海开源鼎康债券C"
"004002","泰达宏利恒利债券C"
"005193","北信瑞丰鼎利债券C"
"004470","汇添富鑫益定开债发起式C"
"005843","金元顺安沣泉债券"
"003448","招商招华纯债A"
"003449","招商招华纯债C"
"005590","汇添富鑫永定开债A"
